Companies House,2,4,10,10+,,ONS,,,,,total,,,,,,
E07000032,958,582,1159,1241,,E07000032,560,430,1060,1820,3870,,3.58771096501891,2.98136550907854,2.76492298464989,3.0640834359636,3.09377178149873
E07000033,454,284,582,567,,E07000033,265,190,505,795,1755,,3.24427712080184,2.6570558528571,2.45331834004704,2.76492298464989,2.75358305889291
E07000034,922,678,1013,1129,,E07000034,445,295,760,1305,2805,,3.44793286559218,2.96473092105363,2.83122969386706,3.00560944536028,3.05269394192497
E07000035,707,500,1069,1222,,E07000035,445,380,1025,2475,4325,,3.63598611180083,2.8494194137969,2.69897000433602,3.02897770520878,3.08707120590654
E07000036,785,484,941,1053,,E07000036,415,340,910,1435,3100,,3.49136169383427,2.89486965674525,2.68484536164441,2.97358962342726,3.02242837118549
E07000037,960,644,1255,1181,,E07000037,470,405,935,1635,3445,,3.53718922624364,2.98227123303957,2.80888586735981,3.09864372581706,3.07224989761351
E07000038,707,431,786,829,,E07000038,385,330,755,1470,2940,,3.46834733041216,2.8494194137969,2.63447727016073,2.89542254603941,2.91855453055027
E07000039,726,447,920,728,,E07000039,450,380,920,1350,3100,,3.49136169383427,2.86093662070009,2.65030752313194,2.96378782734556,2.86213137931304
E07000040,1022,696,1362,1615,,E07000040,645,470,1445,3110,5670,,3.75358305889291,3.00945089579869,2.84260923961056,3.13417710757677,3.20817252666712
E07000041,1263,828,1429,1924,,E07000041,520,420,930,1635,3505,,3.54468802230268,3.10140335055533,2.91803033678488,3.15503222879097,3.28420506770179
E07000042,635,405,874,921,,E07000042,420,320,880,2535,4155,,3.61857102812013,2.80277372529198,2.60745502321467,2.9415114326344,2.96425963019685
E07000043,661,373,1011,940,,E07000043,430,325,1075,2720,4550,,3.65801139665711,2.82020145948564,2.57170883180869,3.004751155591,2.9731278535997
E07000044,723,541,998,1221,,E07000044,495,430,1135,2560,4620,,3.66464197555612,2.85913829729453,2.73319726510657,2.99913054128737,3.08671566394488
E07000045,1043,792,1531,1534,,E07000045,570,515,1380,2545,5010,,3.69983772586725,3.01828430842653,2.89872518158949,3.18497519069826,3.18582535961296
E07000046,388,249,552,563,,E07000046,280,235,690,2090,3295,,3.51785541893003,2.58883172559421,2.39619934709574,2.7419390777292,2.75050839485135
E07000047,368,240,497,487,,E07000047,280,245,635,1815,2975,,3.47348697006457,2.56584781867352,2.38021124171161,2.69635638873333,2.68752896121463
E07000048,504,342,648,828,,E07000048,260,200,455,765,1680,,3.22530928172586,2.70243053644552,2.53402610605613,2.81157500587059,2.91803033678488
E07000049,1043,679,1352,1637,,E07000049,530,445,1070,1975,4020,,3.60422605308447,3.01828430842653,2.8318697742805,3.13097669160562,3.21404867941194
E07000050,576,401,821,953,,E07000050,380,285,745,1765,3175,,3.50174372962799,2.76042248342321,2.60314437262018,2.91434315711944,2.97909290063833
E07000051,429,253,507,686,,E07000051,235,170,485,1025,1915,,3.28216877830464,2.63245729218472,2.40312052117582,2.70500795933334,2.83632411570675
E07000052,1217,797,1397,1800,,E07000052,540,475,1190,2810,5015,,3.70027093735644,3.08529057823006,2.90145832139611,3.14519640611418,3.25527250510331
E07000053,422,278,568,597,,E07000053,245,195,470,675,1585,,3.20002926655377,2.62531245096167,2.44404479591808,2.75434833571102,2.77597433112937
E07000061,1256,856,1486,1598,,E07000061,425,335,705,1135,2600,,3.41497334797082,3.09898963940118,2.93247376467715,3.17201880942456,3.20357677497797
E07000062,860,541,1001,999,,E07000062,355,275,685,995,2310,,3.36361197989214,2.93449845124357,2.73319726510657,3.00043407747932,2.99956548822598
E07000063,1065,730,1190,1311,,E07000063,500,455,980,1740,3675,,3.56525734342021,3.02734960777476,2.86332286012046,3.07554696139253,3.11760269169008
