la,"(0, 4)","(5, 40)","(41, 44)","(45, 46)","(46, 47)","(47, 48)","(49, 54)","(55, 57)","(58, 64)","(64, 67)","(68, 69)","(69, 76)","(77, 83)","(84, 85)","(85, 86)","(86, 89)","(90, 100)",Total
E07000179,375,390,930,210,295,430,225,340,860,125,310,1970,720,55,145,260,570,8210
E07000180,310,325,710,155,210,280,150,240,555,60,175,1310,475,35,150,190,430,5760
E07000181,400,290,785,185,200,350,125,275,465,80,205,1090,410,45,100,200,415,5620
E07000187,780,425,770,180,190,390,180,335,355,65,200,830,425,35,100,165,335,5760
E07000188,685,395,655,185,170,315,200,335,210,85,145,670,315,40,70,155,260,4890
E07000189,1165,515,970,280,250,480,175,380,360,100,210,960,485,65,110,250,420,7175
E07000190,655,245,600,180,175,330,115,250,225,100,195,720,315,35,80,255,285,4760
E07000191,530,70,155,55,40,130,40,170,45,15,30,175,110,20,20,40,130,1775
E07000192,25,335,665,170,190,280,240,195,145,35,95,425,230,10,60,105,195,3400
E07000193,480,320,565,160,205,330,330,260,245,75,150,710,335,20,95,195,255,4730
E07000194,280,325,650,175,260,280,295,240,280,100,205,865,545,20,75,170,325,5090
E07000195,185,250,485,135,170,290,205,240,185,55,100,495,255,5,80,190,265,3590
E07000196,260,295,735,140,195,280,180,215,190,75,150,700,265,15,75,155,275,4200
E07000197,635,315,640,185,245,365,185,260,335,70,180,810,380,25,110,240,325,5305
E07000198,940,300,505,145,145,240,220,240,130,40,80,470,295,25,50,135,205,4165
E07000199,5,230,335,90,115,175,225,125,130,40,80,335,165,10,35,80,160,2335
E07000200,425,290,590,145,180,265,120,215,225,80,130,640,300,50,65,125,255,4100
E07000201,235,150,345,80,105,145,90,155,115,35,75,290,170,20,45,85,350,2490
E07000202,15,175,560,160,135,325,345,275,310,90,145,565,330,5,70,255,310,4070
E07000203,755,320,660,200,200,260,180,175,235,80,115,710,360,70,80,150,305,4855
E07000204,355,325,630,180,185,320,165,230,220,75,205,705,380,50,70,175,295,4565
E07000205,555,290,650,155,190,420,435,360,345,55,175,790,395,65,85,220,380,5565
E07000206,275,255,555,135,130,360,115,280,140,50,95,595,275,40,70,125,260,3755
E07000207,35,250,780,120,290,465,135,265,1230,190,345,2595,915,0,140,310,695,8760
E07000208,10,90,545,75,130,190,85,145,490,70,105,905,375,0,60,165,245,3685
E07000209,130,280,900,170,265,375,115,240,955,170,270,1940,675,20,150,280,505,7440
E07000210,140,205,660,140,195,315,85,180,640,140,180,1365,480,10,85,195,380,5395
E07000211,75,265,1105,165,240,395,170,275,790,195,210,1645,710,5,125,320,415,7105
E07000212,40,210,575,150,215,205,160,165,545,80,165,830,405,0,80,160,280,4265
E07000213,15,185,640,140,165,285,490,160,690,50,115,780,415,0,55,140,250,4575
E07000214,45,210,565,145,160,255,110,200,625,95,130,1115,440,10,90,185,330,4710
E07000215,145,215,790,130,190,265,105,150,485,100,185,1050,495,15,95,185,335,4935
E07000216,195,325,810,160,245,445,105,280,945,510,350,2100,745,20,150,240,575,8200
E07000217,25,205,465,125,175,250,115,200,900,110,140,1320,450,0,85,200,325,5090
E07000218,190,250,390,125,115,190,205,170,145,40,100,375,260,15,45,80,160,2855
E07000219,40,360,410,160,155,290,395,170,215,60,80,570,330,5,55,145,225,3665
E07000220,275,255,475,175,165,265,865,215,335,60,145,955,380,20,95,145,250,5075
E07000221,780,475,850,250,345,485,155,430,495,145,370,1775,670,50,160,210,510,8155
E07000222,200,415,620,160,270,475,160,370,740,130,300,2320,650,20,155,315,435,7735
E07000223,30,190,450,75,110,175,70,110,195,40,50,320,205,0,50,100,155,2325
E07000224,145,405,890,175,210,410,150,335,375,70,175,855,440,20,90,255,365,5365
E07000225,535,370,830,170,245,485,125,330,450,85,270,1325,580,30,120,220,475,6645
E07000226,10,190,450,100,170,220,250,150,360,85,85,550,385,0,75,150,205,3435
E07000227,420,470,885,215,355,425,145,275,765,145,245,1635,670,25,130,245,495,7545
E07000228,220,370,980,160,300,455,155,270,790,195,240,1610,675,20,140,280,500,7360
E07000229,10,180,505,85,110,315,80,255,360,65,125,675,330,5,70,240,285,3695
E07000234,190,280,945,190,235,280,1980,175,355,95,240,870,685,15,120,245,285,7185
E07000235,665,305,425,120,200,270,80,225,270,55,180,715,285,40,70,145,225,4275
E07000236,35,340,385,135,155,170,135,120,215,45,75,460,230,5,55,110,135,2805
E07000237,15,180,295,105,125,285,150,220,220,60,105,575,240,10,70,175,255,3085
E07000238,740,430,740,220,315,405,235,295,365,95,255,1065,555,50,100,205,360,6430
E07000239,165,270,490,175,190,285,150,225,155,55,100,495,265,10,70,135,245,3480
E07000240,75,290,825,135,335,470,165,315,1265,185,290,2545,1200,10,200,515,555,9375
E07000241,35,280,670,140,240,260,245,170,585,90,220,1020,440,5,90,245,280,5015
E07000242,240,595,1145,220,335,440,1970,430,750,155,320,1715,870,30,150,325,480,10170
E07000243,5,160,545,100,115,175,145,125,320,205,140,505,230,5,55,165,155,3150
E08000001,85,710,1180,370,480,900,440,525,460,215,290,1335,760,5,155,605,595,9110
E08000002,70,475,915,275,360,685,705,395,410,190,350,1170,965,0,115,420,480,7980
E08000003,15,790,1385,345,1165,4545,800,1375,1790,480,990,4205,1760,5,355,1315,1170,22490
E08000004,75,620,965,285,325,630,610,470,330,115,195,825,620,5,110,365,445,6990
E08000005,120,550,860,245,370,600,570,405,300,115,205,785,600,0,100,465,400,6690
E08000006,30,465,1015,215,505,810,640,410,615,240,500,1455,785,0,150,450,455,8740
E08000007,75,750,1290,375,615,895,310,570,925,335,400,2455,1065,0,185,645,775,11665
E08000008,50,645,880,255,315,590,280,425,310,110,160,860,440,0,100,320,425,6165
E08000009,55,480,1005,230,510,735,305,450,1025,1380,585,2375,1185,0,190,685,630,11825
E08000010,125,680,1405,395,375,740,635,550,445,110,220,1295,695,5,145,405,630,8855
E08000011,35,305,515,65,130,235,335,140,140,55,60,495,405,5,55,160,190,3325
E08000012,10,605,1415,275,425,1205,880,1090,760,335,550,2485,1400,5,280,860,960,13540
E08000013,85,345,625,175,160,395,385,310,225,65,105,715,415,5,70,220,315,4615
E08000014,75,425,1080,290,285,705,475,480,405,160,275,1285,650,10,155,440,650,7845
E08000015,75,495,1010,265,280,755,325,590,545,160,270,1730,795,5,185,545,675,8705
E08000016,250,490,1070,265,260,565,510,470,260,100,200,730,405,5,165,250,370,6365
