CompanyNumber,Date,OldPostcode,NewPostcode,OldLocalAuthority,NewLocalAuthority,RegisteredStaff,IncorperationDate,NFiles
06264938,2009-06-26,PR26 6PL,PR26 6PL,E07000126,E07000126,3,2007-05-31,14
07073234,2013-08-29,M28 1NB,M28 1LE,E08000006,E08000006,1,2009-11-11,8
03202188,1996-06-14,BS3 3HD,BA3 2BB,E06000023,E06000022,4,1996-05-22,9
03202188,2002-03-13,BA3 2BB,BA3 4BB,E06000022,E06000022,3,1996-05-22,34
03202188,2010-10-08,BA3 4BB,BS1 4QZ,E06000022,E06000023,1,1996-05-22,61
03045297,1995-05-12,BS1 6BU,DY8 1AN,E06000023,E08000027,1,1995-04-12,4
03045297,1998-08-12,DY8 1LV,DY12 1DQ,E08000027,E07000239,1,1995-04-12,13
03045297,1999-04-27,DY12 1DQ,DY7 6HD,E07000239,E07000196,1,1995-04-12,16
03045297,2013-05-08,DY7 6HD,DY8 1PH,E07000196,E08000027,1,1995-04-12,50
07906644,2012-01-18,NW5 3EW,NW5 3EW,E09000007,E09000007,1,2012-01-12,2
07906644,2014-01-20,NW5 3EW,TN8 5AL,E09000007,E07000111,1,2012-01-12,7
07906644,2016-10-13,TN8 5AL,SE1 2BD,E07000111,E09000028,1,2012-01-12,16
07906644,2016-10-17,SE1 2BD,SE1 2BD,E09000028,E09000028,1,2012-01-12,18
06505612,2015-09-17,DA8 2LF,DA2 6QH,E09000004,E07000107,1,2008-02-15,26
00020758,2010-01-08,E1W 1UT,WC2R 3AA,E09000030,E09000033,6,1900-01-01,121
00020758,2011-06-29,WC2R 3AA,WC2R 3AA,E09000033,E09000033,6,1900-01-01,135
00020758,2011-08-17,WC2R 3AA,WC2R 3AA,E09000033,E09000033,6,1900-01-01,145
02280087,1999-06-16,NW10 2ET,W2 1DY,E09000005,E09000033,2,1988-07-26,27
02280087,2003-05-08,W2 1DY,HA7 2NH,E09000033,E09000015,2,1988-07-26,35
01633068,2003-02-09,M90 1QX,M60 2LA,E08000003,E08000003,2,1982-05-05,69
06423289,2011-03-04,S70 3QH,S72 9LN,E08000016,E08000016,1,2007-11-09,11
05017563,2004-11-01,WC1X 8XF,FY8 3AZ,E09000007,E07000119,5,2004-01-16,7
05017563,2016-02-10,FY8 3AZ,DE6 1HA,E07000119,E07000035,5,2004-01-16,52
05017563,2016-12-15,DE6 1HA,DE14 1LS,E07000035,E07000193,5,2004-01-16,54
08448724,2016-04-15,SW2 4XR,SE24 9AE,E09000022,E09000022,1,2013-03-18,7
